"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"NGA",1,2001,2454.07985173056125657,794050.376701199167217
"NGA",2,2001,292.54670947449719674,147163.310681045751853
"NGA",3,2001,2019.83867465257328828,699901.840085911477144
"NGA",4,2001,73.65884401132895197,22040.700249507546178
"NGA",5,2001,0.15179342351942277,129.706102701906919
"NGA",6,2001,325.60585965131320658,154096.305027135720280
"NGA",7,2001,80.72208513148491457,23643.224537466156643
"NGA",8,2001,2.25527321310438384,147.716462357736012
"NGA",9,2001,2925.26899991156190342,1023195.976977249684955
"NGA",10,2001,3566.06465388644831141,1301232.570083865598735
"NGA",11,2001,255.29334218379767901,86762.394006108530773
"NGA",12,2001,11556.98740511331005907,4522116.445133381778646
"NGA",13,2001,184.96375576402134538,57780.973803666808874
"NGA",14,2001,102.04424556119574914,28228.192784141435824
"NGA",15,2001,371.12170352472058691,117586.875670211371533
"NGA",16,2001,0.0,18.630681230554977
"NGA",17,2001,2960.16955983151850294,821445.634782070191654
"NGA",19,2001,32.79765245674316741,11276.0692817466344623
"NGA",21,2001,0.45113030774468316,107.379755442298375
"NGA",22,2001,87.73927150100257779,26532.45727263740515
"NGA",23,2001,3534.34651796027610893,1340300.586130810397808
"NGA",24,2001,904.31448053453952363,292112.401684542456445
"NGA",25,2001,288.70756728027775287,96795.828950630031943
"NGA",26,2001,113.75759762144530323,40815.048869461878722
"NGA",27,2001,540.44805024645985933,172692.711831308196381
"NGA",28,2001,2842.83482314193539183,883427.917558535305751
"NGA",29,2001,3446.44671323295405707,1242563.213704731143889
"NGA",30,2001,432.65214139705382588,149395.069655418271167
"NGA",31,2001,1693.64401564810177696,520671.859436149259692
"NGA",32,2001,1.67163472341037335,596.016341379201705
"NGA",33,2001,769.15720284832757168,256732.0696560445956125
"NGA",34,2001,0.8294082954888238,274.513927327506602
"NGA",35,2001,1525.32027174765357578,521473.246953679652988
"NGA",36,2001,0.15097903403537327,43.288644317720276
"NGA",37,2001,0.37596155826334637,180.3444556090183942
"NGA",1,2002,648.14924777444635162,219773.335219652067002
"NGA",2,2002,35.00015871617378771,14583.814657128909621
"NGA",3,2002,138.92872181617216538,50949.495034163724980
"NGA",4,2002,37.25838300952664088,11918.137119681397743
"NGA",5,2002,0.60651440330783421,666.656938539055039
"NGA",6,2002,490.16994798071378508,236930.034690234108567
"NGA",7,2002,37.28300591749078534,12218.909244325302277
"NGA",8,2002,5.54958968934895831,191.704062415978951
"NGA",9,2002,4075.74095701305780094,1595967.726624889020137
"NGA",10,2002,2597.82543393507796129,1120932.446732787443957
"NGA",11,2002,47.68780663555636335,16256.372241814150088
"NGA",12,2002,10345.76727194914027994,4188246.929431522219745
"NGA",13,2002,541.85899191116598496,174256.961290837772126
"NGA",14,2002,25.30964377126085052,7522.335617986235180
"NGA",15,2002,134.81803673464185932,43042.49671602325743
"NGA",16,2002,0.07582741293185764,168.373754881334053
"NGA",17,2002,1435.84066730156029818,422112.998192600899337
"NGA",18,2002,0.07512843539279514,19.631265597452895
"NGA",19,2002,17.61056912977268016,5846.957197161609833
"NGA",21,2002,6.53868362816297663,1655.218655765140506
"NGA",22,2002,1.81302145011501707,951.894208172572551
"NGA",23,2002,1101.80988002553850969,380326.684228835831088
"NGA",24,2002,457.98875367534778397,144434.405264523944431
