title,Location of tree cover loss in Nigeria
threshold,30
extent_year,2000
unit,ha
page_size,5
start_year,2001
end_year,2025
date_downloaded,2026-08-26
metadata,https://api.resourcewatch.org/v1/gfw-metadata/widget_tree_cover_loss_location
link,https://globalnaturewatch.org/dashboards/country/NGA/
