title,Tree cover loss in Nigeria
threshold,30
extent_year,2000
start_year,2001
end_year,2025
date_downloaded,2026-08-26
metadata,https://api.resourcewatch.org/v1/gfw-metadata/widget_tree_cover_loss
link,https://globalnaturewatch.org/dashboards/country/NGA/
